animal,classifier,fold,n_train,n_val,group_violations,epochs,accuracy,macro_f1,food_f1,elapsed_s
dog,dense_head,0,90,23,,18.0,0.8260869565217391,0.8306878306878307,,9.449020147323608
dog,logreg,0,90,23,,,0.782608695652174,0.7908496732026143,,0.0686490535736084
dog,dense_head,1,90,23,,14.0,0.7391304347826086,0.7521367521367521,,4.6897807121276855
dog,logreg,1,90,23,,,0.7391304347826086,0.7521367521367521,,0.027848243713378906
dog,dense_head,2,90,23,,36.0,0.9130434782608695,0.9153439153439153,,10.432137489318848
dog,logreg,2,90,23,,,0.9565217391304348,0.9568151147098516,,0.03497576713562012
dog,dense_head,3,91,22,,30.0,0.8181818181818182,0.8222222222222223,,7.660864353179932
dog,logreg,3,91,22,,,0.8181818181818182,0.8222222222222223,,0.033547163009643555
dog,dense_head,4,91,22,,27.0,0.9090909090909091,0.9074074074074074,,6.305049657821655
dog,logreg,4,91,22,,,0.8636363636363636,0.8666666666666667,,0.030554533004760742
cat,dense_head,0,352,88,0.0,12.0,0.5681818181818182,0.4776261373035567,0.12903225806451613,5.704105615615845
cat,logreg,0,352,88,0.0,,0.625,0.5403127901164037,0.18181818181818182,0.07806611061096191
cat,dense_head,1,273,167,0.0,29.0,0.7964071856287425,0.7098767189590868,0.5806451612903226,10.014194965362549
cat,logreg,1,273,167,0.0,,0.688622754491018,0.5853025139505442,0.42424242424242425,0.06645393371582031
cat,dense_head,2,362,78,0.0,9.0,0.5,0.3824998018546406,0.25806451612903225,4.772184371948242
cat,logreg,2,362,78,0.0,,0.38461538461538464,0.38522249732016656,0.23076923076923078,0.0910332202911377
cat,dense_head,3,333,107,0.0,11.0,0.4953271028037383,0.42413488169152763,0.4931506849315068,6.431604385375977
cat,logreg,3,333,107,0.0,,0.5607476635514018,0.5147910967950848,0.39215686274509803,0.07720661163330078
