animal,classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,food_f1_mean,food_f1_std
cat,dense_head,0.5602782360881956,0.1431114240106946,0.5222641852438006,0.1337688578505178,0.36457322551662175,0.18960703647794205
cat,dummy_floor,0.496098490530019,0.06037559126470737,0.22050038653454213,0.018599129256115357,0.0,0.0
cat,lda,0.526036714693191,0.09232445224728773,0.47437431866124086,0.051972517306694783,0.32703553756185333,0.0993123594044464
cat,logreg,0.5088154295797607,0.09326726338071528,0.4641924331847679,0.056895331087129825,0.3093539929099922,0.12467374231859768
cat,svm_linear,0.49431833676911197,0.11693441892686722,0.45276212819880546,0.07872378955266908,0.30099803418569976,0.12865275960367586
cat,svm_rbf,0.5272918947027856,0.1511944867748362,0.4853774296229845,0.12305003492967444,0.35481644596981515,0.13399891165424305
dog,dense_head,0.8229249011857707,0.11093278125614973,0.8243758844068442,0.11141534046216665,,
dog,dummy_floor,0.4071146245059289,0.01784137360204326,0.1928233952427501,0.0059646784301347015,,
dog,lda,0.8047430830039526,0.11501908370824857,0.807388985283722,0.1136426811063468,,
dog,logreg,0.7960474308300395,0.11980099576307313,0.7976803032994984,0.12153775957619237,,
dog,svm_linear,0.7695652173913043,0.09530938479257742,0.7741765349660087,0.09307817567716037,,
dog,svm_rbf,0.7347826086956522,0.13530262601355805,0.7307050357050358,0.13829273999684463,,
