animal,stage,dense_units,dropout,l2,lr,acc_mean,acc_std,f1_mean,f1_std,food_f1_mean,food_f1_std
dog,reg_grid,64,0.2,0.0,0.001,0.8482213438735178,0.08339593122455607,0.84756376864736,0.08669293642892617,,
dog,reg_grid,64,0.2,0.0001,0.001,0.8486166007905138,0.06223884650756065,0.8468639547586916,0.06681848404756682,,
dog,reg_grid,64,0.2,0.001,0.001,0.8482213438735178,0.08339593122455607,0.84756376864736,0.08669293642892617,,
dog,reg_grid,64,0.3,0.0,0.001,0.8229249011857709,0.11093278125614973,0.8243758844068442,0.11141534046216667,,
dog,reg_grid,64,0.3,0.0001,0.001,0.8403162055335969,0.12958159094162455,0.8408750508750508,0.1290697354366218,,
dog,reg_grid,64,0.3,0.001,0.001,0.8051383399209486,0.12930399768361084,0.807120717832792,0.12794737190153258,,
dog,reg_grid,64,0.5,0.0,0.001,0.8047430830039526,0.11463643116377277,0.8078658057915025,0.1119960040168162,,
dog,reg_grid,64,0.5,0.0001,0.001,0.8581027667984189,0.08438526901744275,0.8603882065646772,0.08374994983461571,,
dog,reg_grid,64,0.5,0.001,0.001,0.8403162055335966,0.10586873699707253,0.8428760690060999,0.10491641128802635,,
dog,capacity,32,0.5,0.0001,0.001,0.8146245059288537,0.11992318934021931,0.817912327324092,0.11474721822847263,,
dog,capacity,128,0.5,0.0001,0.001,0.8494071146245059,0.1335009127752383,0.8530491341017659,0.12935615448200807,,
dog,lr,64,0.5,0.0001,0.0003,0.8399209486166008,0.09231597402471672,0.8387825332562174,0.09512628464252085,,
cat,reg_grid,64,0.2,0.0,0.001,0.5520116039652563,0.10878134245497187,0.5199995040675376,0.08856670239427225,0.35254329004329005,0.09938017697757888
cat,reg_grid,64,0.2,0.0001,0.001,0.5655806956552999,0.10927150298162888,0.5311429237237728,0.09223540769768204,0.3730479160004264,0.14019838356265968
cat,reg_grid,64,0.2,0.001,0.001,0.5562010897389015,0.11161566492810714,0.525380957901936,0.09897439184803845,0.36788901389058937,0.13180807581163342
cat,reg_grid,64,0.3,0.0,0.001,0.5602782360881955,0.1431114240106946,0.5222641852438006,0.1337688578505178,0.36457322551662175,0.18960703647794205
cat,reg_grid,64,0.3,0.0001,0.001,0.5678798962944415,0.133361464552189,0.5284507651742333,0.11851075429823434,0.3308652729384437,0.17617416990033838
cat,reg_grid,64,0.3,0.001,0.001,0.5867445134974656,0.12027438123141966,0.5367158125131017,0.10427486115149438,0.36717731829573935,0.1497354444415571
cat,reg_grid,64,0.5,0.0,0.001,0.5502015446748323,0.1607000285486407,0.5203790599322858,0.141661596072929,0.4023193255951877,0.1878175182877243
cat,reg_grid,64,0.5,0.0001,0.001,0.5624702106836806,0.14699748092110856,0.5223060657441727,0.13162368984935088,0.354662567706046,0.21058728258378434
cat,reg_grid,64,0.5,0.001,0.001,0.5606441139719873,0.14772724928983227,0.5155582333052406,0.1297465963042732,0.3103757078728792,0.17600027198006107
cat,capacity,32,0.3,0.001,0.001,0.5677730188903778,0.12610079808544158,0.5309670476006507,0.10194196064773452,0.39726744186046514,0.12236077240799603
cat,capacity,128,0.3,0.001,0.001,0.5465015876272302,0.13412901042899922,0.5108831457533723,0.09658958289127617,0.31991035110714056,0.09373607331335337
cat,lr,64,0.3,0.001,0.0003,0.552270217067659,0.1432208134529325,0.5117248509347826,0.11672829964836844,0.3648023331567636,0.18703476148728596
