animal,condition,fold,n_train_orig,n_train_after_smote,smote_added,n_val,group_violations,epochs,accuracy,macro_f1,food_f1,food_precision,food_recall
dog,BASELINE,0,90,90,0,23,,9,0.8695652173913043,0.8704453441295547,,,
dog,BASELINE,1,90,90,0,23,,7,0.6521739130434783,0.6523809523809524,,,
dog,BASELINE,2,90,90,0,23,,23,0.9565217391304348,0.9581699346405229,,,
dog,BASELINE,3,91,91,0,22,,11,0.8181818181818182,0.8233618233618234,,,
dog,BASELINE,4,91,91,0,22,,7,0.8181818181818182,0.8175213675213676,,,
dog,FOCAL,0,90,90,0,23,,14,0.9130434782608695,0.9111111111111111,,,
dog,FOCAL,1,90,90,0,23,,6,0.6956521739130435,0.704014939309057,,,
dog,FOCAL,2,90,90,0,23,,23,0.9565217391304348,0.9581699346405229,,,
dog,FOCAL,3,91,91,0,22,,7,0.8181818181818182,0.8167832167832169,,,
dog,FOCAL,4,91,91,0,22,,11,0.7727272727272727,0.7798020692757536,,,
dog,SMOTE,0,90,108,18,23,,15,0.9565217391304348,0.9568151147098516,,,
dog,SMOTE,1,90,111,21,23,,8,0.6521739130434783,0.6595704948646125,,,
dog,SMOTE,2,90,111,21,23,,20,0.9130434782608695,0.9150997150997151,,,
dog,SMOTE,3,91,111,20,22,,10,0.8181818181818182,0.8233618233618234,,,
dog,SMOTE,4,91,111,20,22,,7,0.8181818181818182,0.8175213675213676,,,
dog,SMOTE+FOCAL,0,90,108,18,23,,17,0.9130434782608695,0.9153846153846154,,,
dog,SMOTE+FOCAL,1,90,111,21,23,,8,0.6956521739130435,0.704014939309057,,,
dog,SMOTE+FOCAL,2,90,111,21,23,,11,0.9130434782608695,0.9138888888888889,,,
dog,SMOTE+FOCAL,3,91,111,20,22,,10,0.7727272727272727,0.7671957671957671,,,
dog,SMOTE+FOCAL,4,91,111,20,22,,8,0.8636363636363636,0.8584795321637427,,,
cat,BASELINE,0,322,322,0,118,0.0,10,0.5508474576271186,0.5215103554726196,0.33962264150943394,0.3,0.391304347826087
cat,BASELINE,1,319,319,0,121,0.0,7,0.6363636363636364,0.5656623275315683,0.33962264150943394,0.34615384615384615,0.3333333333333333
cat,BASELINE,2,352,352,0,88,0.0,6,0.36363636363636365,0.3414285714285714,0.16,0.12903225806451613,0.21052631578947367
cat,BASELINE,3,327,327,0,113,0.0,8,0.6902654867256637,0.660455486542443,0.6190476190476191,0.6842105263157895,0.5652173913043478
cat,FOCAL,0,322,322,0,118,0.0,7,0.576271186440678,0.5233572511585197,0.32558139534883723,0.35,0.30434782608695654
cat,FOCAL,1,319,319,0,121,0.0,6,0.6198347107438017,0.48013279385828406,0.37037037037037035,0.37037037037037035,0.37037037037037035
cat,FOCAL,2,352,352,0,88,0.0,6,0.45454545454545453,0.3513788283136358,0.0,0.0,0.0
cat,FOCAL,3,327,327,0,113,0.0,8,0.6637168141592921,0.6319569333404557,0.5714285714285714,0.631578947368421,0.5217391304347826
cat,SMOTE,0,322,477,155,118,0.0,10,0.5169491525423728,0.47296859169199595,0.2857142857142857,0.3157894736842105,0.2608695652173913
cat,SMOTE,1,319,465,146,121,0.0,7,0.6198347107438017,0.562534435261708,0.2909090909090909,0.2857142857142857,0.2962962962962963
cat,SMOTE,2,352,555,203,88,0.0,6,0.29545454545454547,0.29625948747395775,0.2716049382716049,0.1774193548387097,0.5789473684210527
cat,SMOTE,3,327,492,165,113,0.0,7,0.6194690265486725,0.5553023469274715,0.576271186440678,0.4722222222222222,0.7391304347826086
cat,SMOTE+FOCAL,0,322,477,155,118,0.0,6,0.3813559322033898,0.3664585127763422,0.25925925925925924,0.22580645161290322,0.30434782608695654
cat,SMOTE+FOCAL,1,319,465,146,121,0.0,7,0.6363636363636364,0.5837350142133234,0.3103448275862069,0.2903225806451613,0.3333333333333333
cat,SMOTE+FOCAL,2,352,555,203,88,0.0,6,0.3181818181818182,0.3187109187109187,0.3116883116883117,0.20689655172413793,0.631578947368421
cat,SMOTE+FOCAL,3,327,492,165,113,0.0,7,0.672566371681416,0.6403876034692205,0.6296296296296297,0.5483870967741935,0.7391304347826086
